Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","540","New Caledonia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","7747.7","E","Estimated value",""
"QCL","Crops and livestock products","554","New Zealand","5412","Yield","01510","Potatoes","2023","2023","kg/ha","50875","E","Estimated value",""
"QCL","Crops and livestock products","558","Nicaragua","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18007.9","A","Official figure",""
"QCL","Crops and livestock products","562","Niger","5412","Yield","01510","Potatoes","2023","2023","kg/ha","35601.5","E","Estimated value",""
"QCL","Crops and livestock products","566","Nigeria","5412","Yield","01510","Potatoes","2023","2023","kg/ha","3774.3","E","Estimated value",""
"QCL","Crops and livestock products","807","North Macedonia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","15029","A","Official figure",""
"QCL","Crops and livestock products","578","Norway","5412","Yield","01510","Potatoes","2023","2023","kg/ha","27249","A","Official figure",""
"QCL","Crops and livestock products","512","Oman","5412","Yield","01510","Potatoes","2023","2023","kg/ha","30869.9","A","Official figure",""
"QCL","Crops and livestock products","586","Pakistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","24428.5","A","Official figure",""
"QCL","Crops and livestock products","275","Palestine","5412","Yield","01510","Potatoes","2023","2023","kg/ha","36246.9","E","Estimated value",""
"QCL","Crops and livestock products","591","Panama","5412","Yield","01510","Potatoes","2023","2023","kg/ha","26206.8","E","Estimated value",""
"QCL","Crops and livestock products","598","Papua New Guinea","5412","Yield","01510","Potatoes","2023","2023","kg/ha","5928.4","E","Estimated value",""
"QCL","Crops and livestock products","600","Paraguay","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14946.6","E","Estimated value",""
"QCL","Crops and livestock products","604","Peru","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17324.9","A","Official figure",""
"QCL","Crops and livestock products","608","Philippines","5412","Yield","01510","Potatoes","2023","2023","kg/ha","16080.7","A","Official figure",""
"QCL","Crops and livestock products","616","Poland","5412","Yield","01510","Potatoes","2023","2023","kg/ha","29642.8","A","Official figure",""
"QCL","Crops and livestock products","620","Portugal","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22450.3","A","Official figure",""
"QCL","Crops and livestock products","634","Qatar","5412","Yield","01510","Potatoes","2023","2023","kg/ha","30129.4","A","Official figure",""
"QCL","Crops and livestock products","410","Republic of Korea","5412","Yield","01510","Potatoes","2023","2023","kg/ha","24460.2","E","Estimated value",""
"QCL","Crops and livestock products","498","Republic of Moldova","5412","Yield","01510","Potatoes","2023","2023","kg/ha","7533.4","A","Official figure",""
"QCL","Crops and livestock products","642","Romania","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14888.3","A","Official figure",""
"QCL","Crops and livestock products","643","Russian Federation","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17526.7","E","Estimated value",""
"QCL","Crops and livestock products","646","Rwanda","5412","Yield","01510","Potatoes","2023","2023","kg/ha","7565.3","A","Official figure",""
"QCL","Crops and livestock products","682","Saudi Arabia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","28673.8","E","Estimated value",""
"QCL","Crops and livestock products","686","Senegal","5412","Yield","01510","Potatoes","2023","2023","kg/ha","23959.1","E","Estimated value",""
"QCL","Crops and livestock products","688","Serbia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25905.1","A","Official figure",""
"QCL","Crops and livestock products","703","Slovakia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25007.4","A","Official figure",""
"QCL","Crops and livestock products","705","Slovenia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","23326.5","A","Official figure",""
"QCL","Crops and livestock products","710","South Africa","5412","Yield","01510","Potatoes","2023","2023","kg/ha","38035.7","E","Estimated value",""
"QCL","Crops and livestock products","724","Spain","5412","Yield","01510","Potatoes","2023","2023","kg/ha","32376.2","A","Official figure",""
"QCL","Crops and livestock products","144","Sri Lanka","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14486","A","Official figure",""
"QCL","Crops and livestock products","729","Sudan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","12302.7","E","Estimated value",""
"QCL","Crops and livestock products","752","Sweden","5412","Yield","01510","Potatoes","2023","2023","kg/ha","36000","A","Official figure",""
"QCL","Crops and livestock products","756","Switzerland","5412","Yield","01510","Potatoes","2023","2023","kg/ha","33669.1","A","Official figure",""
"QCL","Crops and livestock products","760","Syrian Arab Republic","5412","Yield","01510","Potatoes","2023","2023","kg/ha","25003.8","A","Official figure",""
"QCL","Crops and livestock products","762","Tajikistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","20227.9","A","Official figure",""
"QCL","Crops and livestock products","764","Thailand","5412","Yield","01510","Potatoes","2023","2023","kg/ha","18503.1","A","Official figure",""
"QCL","Crops and livestock products","626","Timor-Leste","5412","Yield","01510","Potatoes","2023","2023","kg/ha","912.1","E","Estimated value",""
"QCL","Crops and livestock products","788","Tunisia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17778.6","E","Estimated value",""
"QCL","Crops and livestock products","792","Türkiye","5412","Yield","01510","Potatoes","2023","2023","kg/ha","37766.6","A","Official figure",""
"QCL","Crops and livestock products","795","Turkmenistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","14068","A","Official figure",""
"QCL","Crops and livestock products","800","Uganda","5412","Yield","01510","Potatoes","2023","2023","kg/ha","7769.2","E","Estimated value",""
"QCL","Crops and livestock products","804","Ukraine","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17648.8","A","Official figure",""
"QCL","Crops and livestock products","784","United Arab Emirates","5412","Yield","01510","Potatoes","2023","2023","kg/ha","26110.7","E","Estimated value",""
"QCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5412","Yield","01510","Potatoes","2023","2023","kg/ha","40874.9","A","Official figure",""
"QCL","Crops and livestock products","834","United Republic of Tanzania","5412","Yield","01510","Potatoes","2023","2023","kg/ha","8579.5","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5412","Yield","01510","Potatoes","2023","2023","kg/ha","51449.1","A","Official figure",""
"QCL","Crops and livestock products","858","Uruguay","5412","Yield","01510","Potatoes","2023","2023","kg/ha","22651.6","A","Official figure",""
"QCL","Crops and livestock products","860","Uzbekistan","5412","Yield","01510","Potatoes","2023","2023","kg/ha","31877.3","A","Official figure",""
"QCL","Crops and livestock products","548","Vanuatu","5412","Yield","01510","Potatoes","2023","2023","kg/ha","6000","E","Estimated value",""
"QCL","Crops and livestock products","862","Venezuela (Bolivarian Republic of)","5412","Yield","01510","Potatoes","2023","2023","kg/ha","19964.6","E","Estimated value",""
"QCL","Crops and livestock products","704","Viet Nam","5412","Yield","01510","Potatoes","2023","2023","kg/ha","16847.4","A","Official figure",""
"QCL","Crops and livestock products","887","Yemen","5412","Yield","01510","Potatoes","2023","2023","kg/ha","17209","E","Estimated value",""
"QCL","Crops and livestock products","894","Zambia","5412","Yield","01510","Potatoes","2023","2023","kg/ha","24560.6","A","Official figure",""
"QCL","Crops and livestock products","716","Zimbabwe","5412","Yield","01510","Potatoes","2023","2023","kg/ha","26131.7","E","Estimated value",""
